"","location","date","total_cases","new_cases","total_deaths","new_deaths","icu_patients","hosp_patients","total_vaccinations","people_vaccinated","people_fully_vaccinated","population","population_density","gdp_per_capita"
"34077","Europe",2020-06-15,2191046,14044,180750,328,NA,NA,0,0,0,747747396,NA,NA
"34078","Europe",2020-06-16,2206930,15884,181366,616,NA,NA,0,0,0,747747396,NA,NA
"34079","Europe",2020-06-17,2222952,16022,181996,630,NA,NA,0,0,0,747747396,NA,NA
"34080","Europe",2020-06-18,2239957,17005,182507,511,NA,NA,0,0,0,747747396,NA,NA
"34081","Europe",2020-06-19,2255773,15816,184118,1611,NA,NA,0,0,0,747747396,NA,NA
"34082","Europe",2020-06-20,2270389,14616,184523,405,NA,NA,0,0,0,747747396,NA,NA
"34083","Europe",2020-06-21,2283684,13295,184750,227,NA,NA,0,0,0,747747396,NA,NA
"34084","Europe",2020-06-22,2297233,13549,184984,234,NA,NA,0,0,0,747747396,NA,NA
"34085","Europe",2020-06-23,2312307,15074,185547,563,NA,NA,0,0,0,747747396,NA,NA
"34086","Europe",2020-06-24,2327439,15132,185938,391,NA,NA,0,0,0,747747396,NA,NA
"34087","Europe",2020-06-25,2342217,14778,186310,372,NA,NA,0,0,0,747747396,NA,NA
"34088","Europe",2020-06-26,2357842,15625,186810,500,NA,NA,0,0,0,747747396,NA,NA
"34089","Europe",2020-06-27,2371743,13901,187134,324,NA,NA,0,0,0,747747396,NA,NA
"34090","Europe",2020-06-28,2383485,11742,187386,252,NA,NA,0,0,0,747747396,NA,NA
