Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population
Morocco,8/31/2021,33008946,18379071,14629875,8/31/2021,504,35892951,0.922,446300,80.4,856049,2319.25,12540,33.97
Mozambique,8/31/2021,2297842,1643520,654322,8/31/2021,508,30888034,2.583,786380,39.3,146053,467.29,1853,5.93
Namibia,8/31/2021,305086,204142,100944,8/31/2021,516,2678191,1.826,823290,3.3,124618,4904.47,3370,132.63
Nepal,8/31/2021,9799553,5317483,4396402,8/31/2021,524,30424878,0.808,143351,212.2,762647,2617.47,10750,36.89
Netherlands,8/31/2021,21881815,11965985,10702250,8/31/2021,528,17337403,0.366,33893,511.5,1938743,11137.35,17998,103.39
New Zealand,8/31/2021,3414742,2230467,1184275,8/31/2021,554,4991442,1.28,264537,18.9,3213,66.63,26,0.54
Nicaragua,8/31/2021,645733,443053,202680,8/31/2021,558,6243931,0.928,119990,52,8867,133.85,199,3
Nigeria,8/31/2021,4182515,2756203,1426312,8/31/2021,566,219463862,2.528,910768,241,191805,93.05,2455,1.19
North Macedonia,8/31/2021,1253612,722579,531033,8/31/2021,807,2128262,0.129,25433,83.7,175624,8429.76,5901,283.24
Norway,8/31/2021,6898900,3849831,3005128,8/31/2021,578,5509591,0.804,304282,18.1,158387,2950.81,814,15.17
Oman,8/31/2021,3752420,2504214,1048206,8/31/2021,512,3694755,1.889,309500,11.9,302239,5918.57,4063,79.56
Pakistan,8/31/2021,55178137,41477587,16171867,8/31/2021,586,238181034,1.993,770875,309,1156281,523.46,25670,11.62
Palau,8/31/2021,29007,,,8/31/2021,585,21613,0.379,459,47.1,2,11.05,0,0
Panama,8/31/2021,4355184,2725107,1630077,8/31/2021,591,3928646,1.156,74340,52.8,456666,10583.79,7046,163.3
Papua New Guinea,8/31/2021,143192,91962,21090,8/31/2021,598,7399757,1.611,452860,16.3,18091,202.2,192,2.15
Paraguay,8/31/2021,3928259,2266494,1661765,8/31/2021,600,7272639,1.153,397302,18.3,458404,6426.94,15723,220.44
Peru,8/31/2021,18583398,10046728,7800482,8/31/2021,604,32201224,0.883,1279996,25.2,2149227,6518.37,198209,601.15
Philippines,8/31/2021,33099392,18697647,13784681,8/31/2021,608,110818325,1.493,298170,371.7,1976202,1803.42,33330,30.42
Poland,8/31/2021,36232370,19257631,18750231,8/31/2021,616,38185913,-0.232,304255,125.5,2888670,7610.15,75345,198.49
Portugal,8/31/2021,14635134,8595464,7487079,8/31/2021,620,10263850,-0.226,91470,112.2,1036019,10062.43,17730,172.2
Qatar,8/31/2021,4438210,2318916,2094413,8/31/2021,634,2479995,1.226,11586,214.1,232571,8072.43,602,20.9
Romania,8/31/2021,9771316,5230297,5117809,8/31/2021,642,21230362,-0.38,229891,92.3,1098765,5684.59,34570,178.85
Russia,8/31/2021,80526858,43659462,36352566,8/31/2021,643,142320790,-0.199,16377742,8.7,6918965,4741.15,183224,125.55
Rwanda,8/31/2021,1723562,1242465,481097,8/31/2021,646,12943132,1.795,24668,524.7,87131,672.71,1083,8.36
Saint Kitts and Nevis,8/31/2021,45327,24208,21119,8/31/2021,659,54149,0.635,261,207.5,1053,1979.62,3,5.64
Saint Lucia,8/31/2021,64523,36750,27773,8/31/2021,662,166637,0.295,606,275,8111,4417.11,103,56.09
Saint Vincent and the Grenadines,8/31/2021,26690,16417,10273,8/31/2021,670,101145,-0.181,389,260,2331,2101.14,12,10.82
San Marino,8/31/2021,46486,23955,23955,8/31/2021,674,34467,0.63,61,565,5331,15708.06,90,265.19
Sao Tome and Principe,8/31/2021,43987,32114,11873,8/31/2021,678,213948,1.504,964,221.9,2593,1183.16,37,16.88
Saudi Arabia,8/31/2021,37121500,22145052,14692285,8/31/2021,682,34783757,1.622,2149690,16.2,544225,1563.24,8539,24.53
Senegal,8/31/2021,1712551,1147553,564998,8/31/2021,686,16082442,2.251,192530,83.5,72753,434.5,1760,10.51
Serbia,8/31/2021,5851158,2917843,2800338,8/31/2021,688,6974289,-0.475,77474,90,759952,10971.33,7278,105.07
Seychelles,8/31/2021,143490,73777,69713,8/31/2021,690,96387,0.67,455,211.8,20038,20374.8,102,103.71
Sierra Leone,8/31/2021,225380,82145,15170,8/31/2021,694,6807277,2.439,71620,95,6367,79.82,121,1.52
Singapore,8/31/2021,8861176,4593269,4427247,8/31/2021,702,5866139,0.946,709,8273.8,67459,1153.08,55,0.94
Slovakia,8/31/2021,4629642,2393402,2177154,8/31/2021,703,5436066,-0.078,48105,113,394923,7235.84,12548,229.91
Slovenia,8/31/2021,1894444,989393,902437,8/31/2021,705,2102106,-0.03,20151,104.3,266660,12723.17,4777,227.93
Solomon Islands,8/31/2021,71601,48883,14437,8/31/2021,90,690598,1.753,27986,24.7,20,2.91,0,0
South Africa,8/31/2021,12568525,9253007,5818291,8/31/2021,710,56978635,0.95,1214470,46.9,2770575,4671.45,81830,137.97
South Sudan,8/31/2021,56989,52226,4763,8/31/2021,728,10984074,5.047,644329,17,11436,102.16,120,1.07
Spain,8/31/2021,65673013,36346563,32811664,8/31/2021,724,47260584,-0.034,498980,94.7,4847298,10240.93,84146,177.78
Sri Lanka,8/31/2021,20126990,12325287,7173120,8/31/2021,144,23044123,0.633,64630,356.6,436081,2036.5,8991,41.99
Sudan,8/31/2021,829682,643569,186113,8/31/2021,729,46751152,2.55,1861484,25.1,37709,86,2791,6.36
Suriname,8/31/2021,334856,201756,133100,8/31/2021,740,614749,0.913,156000,3.9,28840,4916.2,715,121.88
Sweden,8/31/2021,12598988,6853407,5537449,8/31/2021,752,10261767,0.741,410335,25,1123413,10877.79,14685,142.19
Switzerland,8/31/2021,9589752,4948826,4437746,8/31/2021,756,8453550,0.652,39997,211.4,773583,8938.38,10432,120.54
Syria,8/31/2021,403254,230510,158010,8/31/2021,760,20384316,5.323,185887,109.7,27779,158.73,2007,11.47
Taiwan*,8/31/2021,10928720,10028069,900651,8/31/2021,158,23572052,0.038,32260,730.7,#N/A,#N/A,#N/A,#N/A
Thailand,8/31/2021,31771819,23401465,7780973,8/31/2021,764,69480520,0.256,510890,136,1204729,1725.97,11589,16.6
Togo,8/31/2021,535518,356897,178621,8/31/2021,768,8283189,2.51,54385,152.3,21261,256.81,185,2.23
Trinidad and Tobago,8/31/2021,902419,506676,395743,8/31/2021,780,1221047,-0.275,5128,238.1,44481,3178.38,1278,91.32
